title,manufacturer,source,source_id,country_code,barcode,composition,description
"G.U.M. dantų pasta 2-6 metų vaikams KIDS, 50ml",,APO,pmm0191362lt,LT,,,
Betadine 100mg/g tepalas 100g,,APO,pmm0198566lt,LT,,,
"MEDRULL  meicininės kaukės 3-suoksnių, su gumytėm, žalios sp., N50",,APO,pmm0204036lt,LT,,,
"NATASPIN CONTROL, 30 kapsulių",,APO,pmm0182525lt,LT,,,
"MANILLA vaikų veido ir kūno sviestelis ŠVELNUS DEBESĖLIS LIBERI, 150ml",,APO,pmm0202453lt,LT,,,
"SINGCLEAN greitasis COVID-19 antigeno testas iš nosies, N1",,APO,pmm0210168lt,LT,,,
Umckalor 800mg/g geriamieji lašai (tirpalas) 20ml,,APO,pmm0183280lt,LT,,,
Neoaskofenas 200mg/200mg/40mg tabletės N20,,APO,pmm0180268lt,LT,,,
Menovazinas odos tirpalas 40ml,,APO,pmm0183756lt,LT,,,
Drosera-Homaccord geriamieji lašai 30ml,,APO,pmm0201259lt,LT,,,
Jodas Valentis 50mg/ml odos tirpalas 10ml,,APO,pmm0183396lt,LT,,,
Mucofalk 3.25g apelsinų skono granulės geriamam tirpalui 5g N20,,APO,pmm0183283lt,LT,,,
Oftagel 2.5mg/g akių gelis 10g,,APO,pmm0183567lt,LT,,,
Tartephedreel N geriamieji lašai 30ml,,APO,pmm0183247lt,LT,,,
Arnikų tinktūra Valentis 1ml/ml odos tirpalas 40ml,,APO,pmm0179705lt,LT,,,
Bilobil 120mg kietosios kapsulės N60,,APO,pmm0182060lt,LT,,,
Escapelle 1.5mg tabletės N1,,APO,pmm0183996lt,LT,,,
Dentosept burnos gleivinės tirpalas 100g,,APO,pmm0183248lt,LT,,,
Lamisil UNO 10mg/g odos tirpalas 4g,,APO,pmm0199001lt,LT,,,
Echinacea compositum Cosmoplex tabletės N50,,APO,pmm0183418lt,LT,,,
Odeston 200mg tabletės N50,,APO,pmm0183172lt,LT,,,
Mucosa compositum tabletės N50,,APO,pmm0182861lt,LT,,,
Mercurius-Heel S tabletės N50,,APO,pmm0183337lt,LT,,,
Galium-Heel N geriamieji lašai 30ml,,APO,pmm0183261lt,LT,,,
Luffa compositum Heel nosies purškalas 20ml,,APO,pmm0183409lt,LT,,,
Raphacholin dengtos tabletės N30,,APO,pmm0179759lt,LT,,,
Faringodol 150mg kietosios pastilės N16,,APO,pmm0194653lt,LT,,,
Duphalac Fruit 667mg/ml geriamasis tirpalas 500ml,,APO,pmm0181977lt,LT,,,
Kalio permanganatas Valentis milteliai tirpalui 10g,,APO,pmm0183491lt,LT,,,
"ULTRA OMEGA 3-6-9, 60 kapsulių",,APO,pmm0181833lt,LT,,,
"ŠVF geriamasis tirpalas BRONCHOHERBA, 117ml",,APO,pmm0180498lt,LT,,,
"VIRIDIAN ESSENTIAL MALE MULTI WITH COQ10 & ZINC, N90",,APO,pmm0197545lt,LT,,,
"MANILLA vaikų kūno aliejus MAMYTĖS RANKOS LIBERI, 150ml",,APO,pmm0202456lt,LT,,,
Photoderm AKN Mat SPF30 matinės tekstūros kr. 40ml,,APO,pmm0207223lt,LT,,,
"CIZETA kelio įtvaras su angora HWJ180, L-XL dydis, N2",,APO,pmm0202425lt,LT,,,
Salicilo rūgštis Valentis 10mg/ml odos tirpalas 80ml,,APO,pmm0183994lt,LT,,,
Gelomyrtol forte 300mg skrandyje neirios kapsulės N20,,APO,pmm0183455lt,LT,,,
Ony-Tec 80mg/g vaistinis nagų lakas 6.6ml N1 (LI) Lex Ano,,APO,pmm0193821lt,LT,,,
"G.U.M. dantų pasta 7-12 metų vaikams JUNIOR, 50ml",,APO,pmm0191361lt,LT,,,
"JOWAE micelinis vanduo su bijūnų hidrolatu, 400ml",,APO,pmm0172314lt,LT,,,
"CURAPROX dantų šepetėlių rinkinys COLOR OF THE YEAR CS 5460, N2",,APO,pmm0210686lt,LT,,,
