title,manufacturer,source,source_id,country_code,barcode,composition,description
"STAVI-FLEXIN, 60 kapsulių",STAVI-FLEXIN,AZT,206052,LT,,,
"DAILEE BED paklotai NORMAL, 60 x 90, 25 vnt.",DAILEE,AZT,859561162439,LT,,,
"GASTROTUSS, nuo 12 m., 30 kramtomųjų tablečių",GASTROTUSS,AZT,803412518042,LT,,,
"HARTMANN pleistras nudegimams DERMAPLAST EFFECT, M dydis 4,5 cm x 6,5 cm, 3 vnt.",DERMAPLAST,AZT,405219927793,LT,,,
"MITELESS HOME ultragarsinė apsauga nuo dulkių erkučių, 1 vnt.",MITELESS,AZT,599956645010,LT,,,
"SCHOLL rinkinys nuo nagų grybelio, 3.8 ml",SCHOLL,AZT,503848396307,LT,,,
"SCHOLL priemonė paprastosioms ir pėdų karpoms užšaldyti, 80 ml",SCHOLL,AZT,505219701922,LT,,,
"SPERM O.K., vyrų vaisingumo testas spermoje, 1 vnt.",SPERM O.K.,AZT,209663,LT,,,
"AROMAMA eterinių aliejų mišinys EMOCIJŲ ANGELAS, nuo gimimo, 5 ml",AROMAMA,AZT,477904641720,LT,,,
"AROMAMA eterinis aliejus KĖNIS, nuo 6 mėn., 5 ml",AROMAMA,AZT,477904641713,LT,,,
"AROMAMA aromaterapinė vonios druska CITRUSŲ DETOKSAS, 300 g",AROMAMA,AZT,477904641688,LT,,,
"AROMAMA aromaterapinė vonios druska MIŠKO HARMONIJA, 300 g",AROMAMA,AZT,477904641686,LT,,,
"AROMAMA eterinių aliejų mišinys ŠVELNUS PŪKELIS, nuo 0 mėn., 5 ml",AROMAMA,AZT,477904641659,LT,,,
"AROMAMA kamelijų aliejus, bekvapis, 50 ml",AROMAMA,AZT,477904641648,LT,,,
"AROMAMA eterinis aliejus YLANG-YLANG (kvapiosios kanangos), 5 ml",AROMAMA,AZT,477904641270,LT,,,
"AROMAMA rožinių greipfrutų eterinis aliejus, 5 ml",AROMAMA,AZT,477904641269,LT,,,
"AROMAMA eterinis aliejus JAPONINIS LAURENIS, 5 ml",AROMAMA,AZT,477904641272,LT,,,
"AROMAMA eterinis aliejus ROZMARINAS, nuo 7 m., 5 ml",AROMAMA,AZT,477904641194,LT,,,
"AROMAMA eterinis aliejus BERGAMOTĖ, 5 ml",AROMAMA,AZT,477904641043,LT,,,
"MARIA universalus elastinis diržas nėščiosioms MATERNITY BELT, 1 vnt.",MARIA,AZT,475074300089,LT,,,
"NESTLE pieno mišinys vaikams NAN OPTIPRO 2, nuo 6 mėn., 800 g+specialus dozavimo šaukštelis",NAN,AZT,761303408995,LT,,,
"BLANX balinanti dantų pasta O3X, suaugusiesiems, 75 ml",BLANX,AZT,801733106589,LT,,,
"MASCULAN prezervatyvai EXTRA LONG PLEASURE, 10 vnt.",MASCULAN,AZT,401904200332,LT,,,
"SANOSAN vaikiška pudra, 100 ml",SANOSAN,AZT,400358321149,LT,,,
"HUGGIES sauskelnės-kelnaitės SWIMMERS SMALL, 715 kg, 12 vnt.",HUGGIES,AZT,36000183399,LT,,,
"KONJAC SPONGE kempinėlė mišriai veido odai GREEN CLAY, 1 vnt.",KONJAC,AZT,505511380115,LT,,,
"HUMBLE dantų valymo tabletės be fluoro, mėtų skonio, 60 vnt.",HUMBLE,AZT,735007569191,LT,,,
"TOMMEE TIPPEE čiulptukas berniukui MODA, 06 mėn., 1 vnt.",TOMMEE TIPPEE,AZT,501041533387,LT,,,
"PHILIPS AVENT  indeliai su dangteliais VIA, 5 vnt., 240 ml",AVENT,AZT,871010367184,LT,,,
"PHILIPS AVENT silikoninis čiulptukas, minkštas, iki 3 mėn., 2 vnt.",AVENT,AZT,871010374297,LT,,,
"PHILIPS AVENT silikoninis čiulptukas, minkštas, iki 3 mėn., 2 vnt.",AVENT,AZT,871010374301,LT,,,
"HORTUS FRATRIS intymios higienos prausiklis, 250 ml",HORTUS FRATRIS,AZT,802241814106,LT,,,
"HORTUS FRATRIS intymios higienos prausiklis, 500 ml",HORTUS FRATRIS,AZT,802241814107,LT,,,
"SANOHRA vaikiški ausų kištukai skrydžiams, 2 vnt.",SANOHRA,AZT,426021078013,LT,,,
"BEARDBURYS losjonas plikai galvos odai DOCTOR BALD, 200 ml",BEARDBURYS,AZT,843133212552,LT,,,
"BEARDBURYS šampūnas plikai galvos odai DOCTOR BALD, 200 ml",BEARDBURYS,AZT,843133212551,LT,,,
"AROMAMA deivių rankų kremas FRANGIPANI, 100 ml",AROMAMA,AZT,477904641171,LT,,,
"AROMAMA aromaterapinis pieštukas PAREIGŪNAS PŪSLIEJUS, nuo 12 mėn., 10 ml",AROMAMA,AZT,477904641617,LT,,,
"AROMAMA aliejų mišinys nėštukėms MEILĖS BURBULIUKAS, bekvapis, 50 ml",AROMAMA,AZT,477904641142,LT,,,
"AROMAMA aliejų mišinys moterims DEIVĖ DEMETRA, nuo 7 m., 50 ml",AROMAMA,AZT,477904641162,LT,,,
"AROMAMA nerolio žiedų vanduo, 50 ml",AROMAMA,AZT,477904641097,LT,,,
"AROMAMA deivių rankų kremas LEVANDA IR APELSINAS, 100 ml",AROMAMA,AZT,477904641172,LT,,,
"KEVIN MURPHY kondicionierius šviesintiems plaukams CRYSTAL.ANGEL, bespalvis, 250 ml",KEVIN MURPHY,AZT,933934100618,LT,,,
"BIONIKE skysta pudra DEFENCE COLOR NUDE SERUM R³, Nr. 603, SPF 15, 30 ml",BIONIKE,AZT,802904117163,LT,,,
"KEDAN PROFESSIONAL atkuriamasis šampūnas S2, 1000 ml",KEDAN,AZT,802411640022,LT,,,
"JOHN FRIEDA šviesių plaukų spalvą išryškinantis balzamas BRIGHTENING, 250 ml",JOHN FRIEDA,AZT,503715622730,LT,,,
"HEMP CARE kvapusis vanduo THE SCENT, 50 ml",HEMP CARE,AZT,800678600934,LT,,,
"ANTIPODES švelnus kreminis veido prausiklis GRACE, bekvapis, 120 ml",ANTIPODES,AZT,942190056996,LT,,,
"ANTIPODES odą šviesinantis paakių kremas MANUKA HONEY, 30 ml",ANTIPODES,AZT,942190392543,LT,,,
"ANTIPODES veido ir kūno kremas IMMORTAL, SPF 15, bekvapis, 60 ml",ANTIPODES,AZT,942190056995,LT,,,
"MUSTELA apsauginis aliejus nuo strijų, 105 ml",MUSTELA,AZT,350410502745,LT,,,
"RENE FURTERER švelnus kasdienio naudojimo šampūnas NATURIA, 200 ml",RENE FURTERER,AZT,211241,LT,,,
"VICHY naktinis kremas-kaukė SLOW AGE NUIT, 50 ml",VICHY,AZT,333787558628,LT,,,
"ANTIPODES veido serumas BLESSING, 30 ml",ANTIPODES,AZT,942190452194,LT,,,
"MADARA drėkinamasis muilas INFUSION BLANC, 300 ml",MADARA,AZT,475100982605,LT,,,
