title,manufacturer,source,source_id,country_code,barcode,composition,description
"VICHY ampulės veidui nuo senėjimo LIFTACTIV PEPTIDE-C, 1,8 ml, N10",VICHY,BNU,10036053,LT,,,
Optive akių lašai Plus 10 ml,OPTIVE,BNU,10000140,LT,,,
"Vichy ampulės nuo senėjimo LIFTACTIV SPECIALIST 1,8 ml, N30",VICHY,BNU,10036051,LT,,,
VICHY kalėdinis rinkinys Liftactiv Collagen Specialist,VICHY,BNU,10044415,LT,,,
Optive akių lašai Fusion 10 ml,OPTIVE,BNU,10000139,LT,,,
CuraMed pastilės gerklei suaugusiems N20,CURAMED,BNU,10000224,LT,,,
Rinogermina nosies purškalas 10 ml,RINOGERMINA,BNU,10000872,LT,,,
Livsane Skin Vital kapsulės N30,LIVSANE,BNU,10007287,LT,,,
FILORGA švytėjimo suteikiantis veido kremas OXYGEN-GLOW 30 ml,FILORGA,BNU,10024187,LT,,,
Grenade Carb Killa batonėlis riešutų sviesto skonio 60 g,GRENADE,BNU,10028119,LT,,,
Grenade Carb Killa batonėlis sausainių su grietinėle skonio 60 g,GRENADE,BNU,10028029,LT,,,
Grenade Carb Killa batonėlis sūdytų žemės riešutų skonio 60 g,GRENADE,BNU,10028259,LT,,,
Lagosa tabletės N25,LAGOSA,BNU,10004499,LT,,,
MUSTELA stiprinamasis krūtinės serumas 75 ml,MUSTELA,BNU,10034561,LT,,,
MARGARITA valomasis rankų gelis su alavijų geliu 400 ml,MARGARITA,BNU,10039984,LT,,,
Dezinfekcinis skystis paviršiams 1 L,,BNU,10039791,LT,,,
Livsane braškių skonio baltyminis kokteilis milteliais 450 g,LIVSANE,BNU,10014526,LT,,,
"LA ROCHE-POSAY apsauginis veido kremas nuo aknės ANTHELIOS, SPF 50+, 50 ml",LA ROCHE-POSAY,BNU,10021845,LT,,,
MARGARITA valomasis rankų gelis 100 ml,MARGARITA,BNU,10040009,LT,,,
Herbitassin gerklės pastilės su medumi ir žolelių ekstraktu N12,HERBITASSIN,BNU,10019826,LT,,,
Kvercetino ir dilgėlių komplekso kapsulės N50,TERRANOVA,BNU,10039983,LT,,,
"LA ROCHE-POSAY veido kremas saulei alergiškai odai ANTHELIOS MEDICAL SUN INTOLERANCE, SPF 50, 50 ml",LA ROCHE-POSAY,BNU,10001750,LT,,,
Berocca Plus šnypščiosios tabletės N15,BEROCCA,BNU,10000339,LT,,,
