title,manufacturer,source,source_id,country_code,barcode,composition,description
"Baltyminis batonėlis su pieniško šokolado glaistu PULSAAR, sausainių ir kremo skonio, su saldikliais, 55 g",,CMA,155615,LT,4260648610559,,
"FORMULA VITALE Beauty+, 30 tab.",,CMA,156762,LT,4741505173344,,
"NEW NORDIC Multivitaminai vyrams Energy Boost, 120 tab.",,CMA,155765,LT,5021807005154,,
"BioMagnis premium + B6, B12 ir cinkas, milteliai, 2.4g, 28 pakeliai",,CMA,155527,LT,7290010118533,,
"HAIR CARE PANDA Mama, guminukai, 30 vnt.",,CMA,156604,LT,5903068651403,,
"Baltyminis batonėlis su baltojo šokolado glaistu PULSAAR, mėlynių keksiukų skonio, su saldikliais, 55 g",,CMA,155617,LT,4260648610528,,
"Estromineral Serena Plus, 30 tab.",,CMA,155084,LT,1000002146507,,
"LYSI childrens omega-3, kramtomosios kapsulės vaisių skonio, 60 vnt.",,CMA,155085,LT,5690548856303,,
"BIORGA Cystiphane, plaukams ir nagams, 120 dengtų tab.",,CMA,155113,LT,3660398504251,,
"WELLMAN, 30 kaps., Vitabiotics",,CMA,154888,LT,5021265221301,,
"FLORADIX KINDERVITAL, 250  ml",,CMA,154891,LT,4004148333767,,
Validol LUBNYPHARM poliežuvinių 10 tabl.,,CMA,154972,LT,4820007354281,,
"OILESEN MAX Vitaminas D3 8400, 12 kaps",,CMA,155206,LT,7640153062093,,
"Kofermentas Q10 30mg, 30 kaps.",,CMA,155223,LT,4779030121936,,
"Reishi, 60 kapsulių",,CMA,155271,LT,4770161103853,,
"Oyster, 60 kapsulių",,CMA,155272,LT,4770161103846,,
"Shitake+, 60 kapsulių",,CMA,155273,LT,4770161103860,,
"Cordyceps+, 60 kapsulių",,CMA,155274,LT,4770161103839,,
"Acorus Balance Silica Hair Shots, 10 ml x 14 vnt.",,CMA,155276,LT,4770161103815,,
"Peršalimo sezonui, geriamasis tirpalas paketėliuose, 4vnt. x 20 ml ir 4 vnt. x 20 ml",,CMA,155275,LT,4770161103822,,
"Kofermentas Q10 100 mg VIVAVIT, 30 kaps.",,CMA,155412,LT,4779030121912,,
"OLFEN 10 mg/g gelis, 100 g",,CMA,155064,LT,4030096120333,,
"Šampūnas NIZORAL 20 mg/ml, 100 ml",,CMA,155212,LT,4011548035764,,
"CLARITINE 10 mg, 10 tab.",,CMA,156584,LT,4779028129630,,
"ESCADRA 20mg skrandyje neirios kapsulės, 7 kaps.",,CMA,155288,LT,3838989741488,,
"NIQUITIN 21 mg/24 val. transderminis pleistras, 7 vnt",,CMA,156595,LT,4742041001689,,
"PROSPAN 26 mg, 20 kietųjų past.",,CMA,155503,LT,4104480709739,,
"Sirupas ACTIFED, 100ml",,CMA,156583,LT,4779028128824,,
"BEOTEBAL 10 mg, tabletės, 60 tab.",,CMA,156705,LT,5903060621794,,
"POSTINOR 1500 mcg, 1 burnoje disperguojama tabletė",,CMA,155199,LT,5997001370629,,
"NIQUITIN Mint 2 mg, vaistinė kramtomoji guma, 30 vnt",,CMA,156596,LT,5391520948060,,
"NIQUITIN Mint 4 mg, vaistinė kramtomoji guma, 30 vnt",,CMA,156597,LT,5391520948077,,
"BEOTEBAL 10 mg, tabletės, 30 tab.",,CMA,156706,LT,5903060620704,,
"NIQUITIN 14 mg/24 val. transderminis pleistras, 7 vnt",,CMA,157355,LT,4742041001672,,
"Akių lašai VISINE 0.5 mg/ml, 15 ml",,CMA,159293,LT,3574661641102,,
