title,manufacturer,source,source_id,country_code,barcode,composition,description
Libellys Dermo-Sensitive sauskelnės S (3-6 kg) 30 Vnt.,Libellys,GIN,34276,LT,,,
"Cosmepick kūno kremas su melionais, Exotic comfort, 150 ml",Cosmepick,GIN,33124,LT,,,
K-MOM vienkartiniai vaikiški stalo kilimėliai (20 vnt.),K-MOM,GIN,34100,LT,,,
"BUBI ekologiška GERTUVĖ, pilka, susukama, 1000 ml",Bubi,GIN,29613,LT,,,
"BUBI ekologiška GERTUVĖ, mėlyna, susukama, 1000 ml",Bubi,GIN,29610,LT,,,
"BUBI ekologiška GERTUVĖ, mėlyna, susukama, 650 ml",Bubi,GIN,29622,LT,,,
"LAYENBERGER baltyminis batonėlis, trigubas skonis: kokosai, vanilė, migdolai, be cukraus, 3x45g",Layenberger,GIN,39172,LT,,,
"LAYENBERGER citrinų skonio vaflinis baltyminis batonėlis, be cukraus, 3x40g",Layenberger,GIN,39177,LT,,,
"Cosmepick kūno kremas su vandens kompleksu, Perfect body, 150 ml",Cosmepick,GIN,33123,LT,,,
"Larvore šveičiamieji veido diskeliai, 70 vnt.",Larvore,GIN,34231,LT,,,
"Nagų lak. Golden Rose Rich 10,5ml Nr.017",GOLDEN ROSE,GIN,35997,LT,,,
Acca Kappa White Moss emulsija po skutimosi 125ml,Acca Kappa,GIN,39000,LT,,,
Acca Kappa Vintage dantų šepetėlis vidutinio kietumo Baltas,Acca Kappa,GIN,39055,LT,,,
Acca Kappa Vintage dantų šepetėlis minkštas Baltas,Acca Kappa,GIN,39054,LT,,,
Acca Kappa Lympio nailoninis dantų šepetėlis vidutinio kietumo Tamsiai Mėlynas,Acca Kappa,GIN,39056,LT,,,
Acca Kappa Total Protection dantų pasta 100ml,Acca Kappa,GIN,39057,LT,,,
Acca Kappa dantų pasta su natūraliais ekstraktais 100ml,Acca Kappa,GIN,39058,LT,,,
Acca Kappa Bianco Perla juoda dantų pasta su aktyvuota anglimi 100ml,Acca Kappa,GIN,39059,LT,,,
Acca Kappa White Moss rankų kremas 75ml,Acca Kappa,GIN,39052,LT,,,
Acca Kappa 1869 šampūnas ir dušo gelis 200ml,Acca Kappa,GIN,38988,LT,,,
Acca Kappa Olea Fragrance kūno muilas 150g,Acca Kappa,GIN,39009,LT,,,
Acca Kappa Sandal kūno muilas 150g,Acca Kappa,GIN,39010,LT,,,
Acca Kappa Lily Of The Valley kūno muilas 150g,Acca Kappa,GIN,39011,LT,,,
Acca Kappa Jasmine kūno muilas 150g,Acca Kappa,GIN,39013,LT,,,
Acca Kappa White Fig & Honey kūno muilas 150g,Acca Kappa,GIN,39014,LT,,,
Acca Kappa Virginia Rose kūno muilas 150g,Acca Kappa,GIN,39016,LT,,,
Acca Kappa White Moss skystas rankų muilas 300ml,Acca Kappa,GIN,39017,LT,,,
Acca Kappa Calycanthus rankų kremas 75ml,Acca Kappa,GIN,39020,LT,,,
Acca Kappa Calycanthus vonios ir dušo gelis 500ml,Acca Kappa,GIN,39021,LT,,,
Acca Kappa Green Mandarin kūno losjonas 300ml,Acca Kappa,GIN,39046,LT,,,
Acca Kappa Giallo Elicriso vonios ir dušo gelis 500 ml,Acca Kappa,GIN,39043,LT,,,
Acca Kappa White Moss muilas 150g,Acca Kappa,GIN,39018,LT,,,
Acca Kappa Thyme & Red Rubin Basil kūno muilas 150g,Acca Kappa,GIN,39015,LT,,,
Acca Kappa Giallo Elicriso kūno losjonas 300 ml,Acca Kappa,GIN,39044,LT,,,
Acca Kappa Calycanthus kūno losjonas 300ml,Acca Kappa,GIN,39034,LT,,,
Acca Kappa Green Mandarin vonios ir dušo gelis 500ml,Acca Kappa,GIN,39045,LT,,,
Acca Kappa Mandarin & Green Tea vonios ir dušo gelis 500ml,Acca Kappa,GIN,39047,LT,,,
Acca Kappa Magnolia kūno muilas 150g,Acca Kappa,GIN,39008,LT,,,
Acca Kappa Green Mandarin skystas rankų muilas 300ml,Acca Kappa,GIN,39007,LT,,,
Acca Kappa Mandarin & Green Tea kūno losjonas 300 ml,Acca Kappa,GIN,39048,LT,,,
Acca Kappa Sakura Tokyo vonios ir dušo gelis 500 ml,Acca Kappa,GIN,39049,LT,,,
Acca Kappa Sakura Tokyo kūno losjonas 300 ml,Acca Kappa,GIN,39050,LT,,,
Acca Kappa White Moss vonios ir dušo gelis 500ml,Acca Kappa,GIN,39051,LT,,,
Acca Kappa White Moss kūno losjonas 300ml,Acca Kappa,GIN,39053,LT,,,
"TOPNATUR Low Carb riešutinė košė su kakava ir mėlynėmis, be cukraus ir glitimo, 60g",Topnatur Low Carb,GIN,36789,LT,,,
"LAYENBERGER juodojo šokolado skonio traškus baltyminis batonėlis, be cukraus, 3x45g",Layenberger,GIN,38235,LT,,,
"LAYENBERGER šokoladainio karamelės skonio traškus baltyminis batonėlis, be cukraus, 3x45g",Layenberger,GIN,38236,LT,,,
"Tonymoly Timeless Snail rinkinys brandžios odos priežiūrai, paakių kremas (50 ml) ir emulsija (20ml) + riboto kiekio dovana Tonymoly prausiklis veidui + KOSMETINĖ",TONYMOLY,GIN,32844,LT,,,
"Nagų lak. Golden Rose Rich 10,5ml Nr.024",GOLDEN ROSE,GIN,36001,LT,,,
"Golden Rose Romance nagų lakas 10,2ml. Nr. 49",GOLDEN ROSE,GIN,37469,LT,,,
"LAYENBERGER baltyminis batonėlis, trigubas skonis: žemės riešutai, migdolai ir kokosai, be cukraus, 3x45g",Layenberger,GIN,38238,LT,,,
"Itin minkštos medvilninės servetėlės kūdikiams su ekologiška sertifikuota medvilne ir natūraliu valomuoju tepalu (linimentu), 40 vnt.",Tidoo,GIN,38332,LT,,,
"Tonymoly Egg Pore šaldanti veido priemonė poroms sutraukti Tightening Cooling pack, 30 g + DVIGUBA DOVANA 2 Tonymoly veido lakštinės kaukės",TONYMOLY,GIN,32780,LT,,,
K-MOM drėgnos servetėlės 70 vnt. Liūtas (su jojoba sėklų aliejumi),K-MOM,GIN,35372,LT,,,
