title_product_a,title_product_b,manufacturer_a,manufacturer_b,product_a_barcode,product_b_barcode,m_source_id,c_source_id
"NAILMATIC KIDS vonios putos MOUSSE PARTY, braškių kvapas, 150 ml","NAILMATIC putojantis plaukų ir kūno prausiklis KIDS STRAWBERRY MOUSSE PARTY, 150 ml",NAILMATIC KIDS,nailmatic,376022989587,3760229895876,376022989587,19982
"FINASTERIDE ACCORD, 5mg, plėvele dengtos tabletės, N30","YOPE dušo želė ROSE BOSWELLA, 400 ml",FINASTERIDE ACCORD,yope,100000202581,5900168908277,202581,22997
"TERSOHYAL akių lašai, 8 ml","TERSOHYAL akių lašai, 8 ml",TERSOHYAL,tersohyal,8034125182190,8034125182190,930214440,20120
"APIVITA valomoji veido kaukė su saldžiąja ceratonija EXPRESS BEAUTY TISSUE, 1 vnt.","APIVITA valomoji veido kaukė su anglimi ir saldžiąja ceratonija, 1 vnt.",APIVITA,apivita,5201279078867,5201279078867,520127907545,19176
"VICHY micelinis vanduo jautriai odai PURETE THERMALE MINERAL, 200 ml","VICHY valomasis vanduo visų tipų veido odai PURETE THERMALE, 200  ml",VICHY,vichy,3337875674942,3337875674942,333787567494,14911
"NIQUITIN MINT, 2 mg, vaistinė kramtomoji guma, N30",NIQUITIN MINT 2 mg vaistinė kramtomoji guma N30,NIQUITIN,niquitin,100000212162,5391520948060,212162,19797
"ELUDRIL burnos skalavimo skystis CLASSIC, nuo 6 m., 200 ml",METEOSPASMYL 60 mg/300 mg minkštosios kapsulės N20,ELUDRIL,meteospasmyl,3577056025457,3760001040326,3482382,21936
"CAVINTON FORTE, 10mg, Tabletės, N30",YPSILOHEEL N tabletės N50,CAVINTON FORTE,heel,599700135975,4047642000612,599700135975,21618
"TANTUM VERDE, 1,5mg/ml, 30 ml su mechaniniu purkštuku, burnos gleivinės purškalas (tirpalas), N1",TANTUM VERDE 1.5 mg/ml burnos gleivinės purškalas 30 ml,TANTUM VERDE,tantum-verde,100000000385,5999530590547,837491,23118
"BROMHEXIN, 8 mg, Tabletės, N50",BROMHEXIN 8 mg tabletės N50,BROMHEXIN,bromhexin,475023200039,4750232004845,015872,20654
"OLYNTH HA, 1mg/ml, 10 ml, nosies purškalas (tirpalas), N1",OLYNTH HA 1 mg/ml nosies purškalas (tirpalas) 10 ml,OLYNTH,olynth,357466040259,3574661245645,501012372916,22582
"UPSARIN C 330 mg/200 mg, Šnypščiosios tabletės, N20",UPSARIN C 330 mg/200 mg šnypščiosios tabletės N20,UPSARIN,upsarin,358555103849,3585551038490,049984,14998
"ALKA-SELTZER, 324 mg, Šnypščiosios tabletės, N10",ALKA-SELTZER 324 mg šnypščiosios tabletės N10,ALKA-SELTZER,alka-seltzer,000000044864,3838944101531,044864,22795
"ACC, 200mg, Šnypščiosios tabletės, N20",ACC 200 mg šnypščiosios tabletės N20,ACC,acc,000000045394,4030855000128,045394,18670
"PREFEMIN, plėvele dengtos tabletės, N90",PREFEMIN 20 mg plėvele dengtos tabletės N90,PREFEMIN,prefemin,6068742,4750919000863,474127310973,22091
"STREPSILS Vitamin C, 1,2mg/0,6mg/100mg, kietosios pastilės, N24",STREPSILS VITAMIN C 1.2 mg/0.6 mg/100 mg kietosios pastilės N24,STREPSILS,strepsils,500015810160,5000158101609,500015810160,15611
"NEOSTRATA šviesinamasis serumas ENLIGHTEN, 30 ml","NEOSTRATA šviesinamasis serumas ENLIGHTEN, 30 ml",NEOSTRATA,neostrata,7320133016130,732013301613,732013301613,17987
"NEOSTRATA serumas raustančiai odai RESTORE, 29 g","NEOSTRATA serumas raustančiai odai RESTORE, 29 g",NEOSTRATA,neostrata,7320133013924,732013301392,732013301392,18486
"RENE FURTERER koncentratas sudirgusiai galvos odai ASTERA, 50 ml","RENE FURTERER raminamasis koncentratas sudirgusiai galvos odai ASTERA, 50 ml",RENE FURTERER,rene-furterer,3282770390117,3282770204001,328277020400,18644
"FILLERINA 14 dienų kosmetinio užpildo rinkinys su 6 hialurono rūgštimis ir peptidais, 3 lygis, 30 ml x 2 vnt.","FILLERINA dermatologinio kosmetinio užpildo rinkinys su 6 hialurono rūgštimis, 3 lygis, 2 vnt., 30 ml",FILLERINA,fillerina,100000214580,8051417235556,805141723554,19205
"NEW NORDIC šviesinamasis kremas su antioksidantais PIGMENT CLEAR, 50 ml","NEW NORDIC šviesinantis veido kremas PIGMENT CLEAR CREAM, 50 ml",NEW NORDIC,new-nordic,502180745389,5021807453894,502180745389,19673
"NUXE 48 val. drėkinantis kremas sausai ir labai sausai odai CRÈME FRAÎCHE DE BEAUTÉ, 50 ml","NUXE 48 val. drėkinantis kremas sausai ir labai sausai veido odai CREME FRAICHE DE BEAUTE, 50 ml",NUXE,nuxe,3264680029028,3264680029028,7010436,19778
"STORYDERM korėjietiška lakštinė veido kaukė odos regeneracijai E.G.F ADVANCED, 1 vnt.","STORYDERM lakštinė veido kaukė E.G.F., 1 vnt.",STORYDERM,storyderm,8809428360077,8809428360077,880942836007,20239
"PHARMACERIS A multilipidinis kremas LIPO SENSILIUM, 50 ml","JOLU kietasis šampūnas riebiems plaukams GRAPEFRUIT ZEDERNBOLZ, 50 g",PHARMACERIS,jolu,5900717163416,7111602463254,590071716341,22904
"SOLPADEINE EXPRESS 500 mg/65 mg, Šnypščiosios tabletės, N16",SOLPADEINE EXPRESS 500 mg/65 mg šnypščiosios tabletės N16,SOLPADEINE,solpadeine,100000212706,5391520948183,212706,17330
"LAZARTIGUE veganiškas šampūnas normaliems plaukams EXTRA GENTLE SHAMPOO, 250 ml","LAZARTIGUE švelnus kasdieninis šampūnas EXTRA GENTLE, 250 ml",LAZARTIGUE,lazartigue,3372290125020,3372290125020,337229012502,19117
"BIODERMA odą lyginantis koncentratas riebiai ir mišriai odai SEBIUM NIGHT PEEL, 40 ml","BIODERMA odą lyginantis koncentratas, riebiai ir mišriai odai SÉBIUM NIGHT PEEL, 40 ml",BIODERMA,bioderma,3701129801369,3701129801369,370112980136,17736
"Ricinos aliejus VALENTIS, 50 ml, geriamasis skystis, N1",Ricinos aliejus VALENTIS geriamasis skystis 50 ml,KITA,valentis,6069467,4779018100625,477901799062,22165
"PHARMA OIL universalus gelis ALOE, 50 ml","PHARMA OIL  universalus gelis ALOE, 50 ml",PHARMA OIL,pharma-oil,4772140001099,4772140001099,477214000109,19874
"POSAMYK, 78,22 mg/ml, vaistinis nagų lakas, N1",POSAMYK 78.22 mg/ml vaistinis nagų lakas 3.3 ml,POSAMYK,posamyk,100000219746,4030855514489,219746,20260
"EUCERIN micelinis vanduo DERMATOCLEAN, 400 ml","EUCERIN micelinis vanduo DERMATOCLEAN 3 IN 1, 400 ml",EUCERIN,eucerin,4005800270055,4005800270055,400580014999,22853
"KOCOSTAR paakių kaukė su sidabru PRINCESS, 1 vnt.","KOCOSTAR šviesinanti paakių kaukė PRINCESS SILVER, 1 pora",KOCOSTAR,kocostar,880932832243,8809328322434,880932832243,19504
"OLYNTH HA, 1mg/ml, 10 ml, nosies purškalas (tirpalas), N1",HEMOROL žvakutės N12,OLYNTH,hemorol,357466040259,5909990086610,501012372916,22180
"DOLOBENE, 50 g, Gelis, N1",DOLOBENE gelis 50 g,DOLOBENE,dolobene,100000000599,7640118193442,400938,16035
"VELIOS, 1000mg, plėvele dengtos tabletės, N30",VELIOS 1000 mg plėvele dengtos tabletės N30,VELIOS,velios,100000211941,3830044949051,211941,17472
"Septabene citrinų ir šeivamedžio skonio 3 mg/1 mg, kietosios pastilės, N16",SEPTABENE citrinų ir šeivamedžio skonio 3 mg/1 mg kietosios pastilės N16,SEPTABENE,septabene,383898968188,3838989725679,383898968188,17014
"NUROFEN ORANGE, kramtomosios minkštosios kapsulės, 100 mg, Minkštosios kapsulės, N12",NUROFEN ORANGE 100 mg kramtomosios minkštosios kapsulės N12,NUROFEN,nurofen,100000213134,5900627075304,213134,17348
"GINGIUM, plėvele dengtos tabletės, N60",GINGIUM 120 mg plėvele dengtos tabletės N60,GINGIUM,gingium,403085514634,4030855420391,403085542039,22481
"OLFEN, 140 mg, vaistinis pleistras, N10",OLFEN 140 mg vaistinis pleistras N10,OLFEN,olfen,100000000408,4030096122627,839097,17288
"VIPROSAL B, 50 g, Tepalas, N1",VIPROSAL B tepalas 50 g,VIPROSAL,viprosal,474041200213,4750232008768,013869,21782
"TENA sauskelnės FLEX MAXI, L dydis, 22 vnt.",DENTOSEPT burnos gleivinės tirpalas 100 g,TENA,dentosept,7322541406411,5903473000674,732254007929,21964
"OILEDIXIN vitaminas D3, 10 ml","OILEDIXIN maisto papildas VIT D3, 10 ml",OILEDIXIN,oiledixin,4779028380284,4779028380284,477902838028,14963
"MARSIEČIAI ledinukas RASPBERRY LOLLIPOPS, aviečių skonio, nuo 3 m., 1 vnt.","MARSIEČIAI ledinukai RASPBERRY LOLLIPOPS, 1 vnt.",MARSIEČIAI,marsieciai,8596024026697,8596024026697,223890,21569
"WALMARK SUPER VITAMINAS C 600 MG, 30 tablečių","WALMARK SUPER VITAMINAS C 600 mg, 30 tab.",WALMARK,walmark,8595165292152,8595165292152,859516529215,22605
"VENOLEGS 750:75, 28 pakeliai","BIOFARMACIJA VENOLEGS 750:75 milteliai, 28 pakeliai",BIOFARMACIJA,biofarmacija,729001011547,7290010115471,729001011547,20066
"DERMATIX ULTRA gelis, 6 g","AVANTI MEDICAL indelis laboratoriniams tyrimams, universalus, 60 ml, N1",DERMATIX,avanti-medical,8714367006408,4742225003584,871436700640,22023
"SPORT&BASIC BIOMAGNIS + BIOKALIS, 14 pakelių","BIOFARMACIJA BIOMAGNIS + BIOKALIS SPORT & BASIC, milteliai, 14 pakelių",BIOFARMACIJA,biofarmacija,7280010160540,7280010160540,728001016054,17737
"SEBAMED kūdikių muilas BABY, 100 g","SEBAMED muilas be šarmų kūdikiams BABY, 100 g",SEBAMED,sebamed,4103040113672,4103040113672,410304032601,20320
"SENI LADY įklotai nelaikantiems šlapimo PLUS, 15 vnt.","SENI įklotai Lady Plus, 15 vnt.",SENI LADY,seni,5900516699154,5900516699154,217972,18724
"TENA sauskelnės SLIP MAXI, M dydis, 24 vnt.","TENA sauskelnės Slip Maxi, M, 24 vnt.",TENA,tena,7322540647204,7322540647204,732254039317,22735
"JOGURTO KAPSULĖS SU GYSLOČIU, nuo 3 m., 30 kapsulių","JOGURTO kapsulės su gysločiu, 30 kaps.",VALENTIS,valentis,7640153060785,7640153060785,764015306078,16571
"DINADAX kramtomosios lazdelės su bičių pieneliu ir vitaminais ENERGY, braškių skonio, 1 pak., 1 vnt.","DINADAX energetinė lazdelė ENERGY, braškių skonio, 1 vnt.",DINADAX,dinadax,8437002583217,8414042004056,843700258321,17118
"HIMALAYA PARTY SMART, 1 kapsulė","HIMALAYA PARTY SMART, 1 kaps.",HIMALAYA,himalaya,6050690058212,605069005821,220003,20295
"HYDROVAG makšties ovulės, 7 vnt.","HYDROVAG makšties ovulės, 7 vnt.",HYDROVAG,hydrovag,5905179571038,5905179571038,590517957103,17866
"HAIR CARE PANDA guminukai plaukų priežiūrai MAMA, 150 g","HAIR CARE PANDA guminukai MAMA, 30 vnt.",HAIR CARE PANDA,hair-care-panda,5903068651830,5903068651403,590306865140,19802
"CORYOL, 25mg, Tabletės, N30","COMPLIFLORA lašai BABY DROPS, 10 ml",CORYOL,compliflora,383898955894,4260312161530,383898955894,21565
"MELOBAX, 15mg, Tabletės, N20","Aktyvinta anglis 300 mg, 30 kietųjų kaps.",MELOBAX,aktyvinta-anglis,000000844789,4260312161592,844789,26253
"BABĒ lūpų pieštukas FACIAL SPF20, 4 g","BABE apsauginis lūpų pieštukas FACIAL, SPF20, 4 g",BABE,babe,8437011329240,8437011329240,843701132924,15165
"MOLLERS žuvų taukai BABY, 250 ml","MOLLERS žuvų taukai BABY, 250 ml",MOLLERS,mollers,7070866023539,7070866023539,707086602353,16989
"DERMATIX ULTRA gelis, 6 g","DERMATIX  ULTRA GEL, 6 g",DERMATIX,dermatix,8714367006408,4019338602073,871436700640,22304
"BIODERMA micelinis valomasis vanduo SEBIUM H2O, 500 ml","BIODERMA valomasis vanduo riebiai, mišriai ir linkusiai į aknę odai SÉBIUM H2O, 500 ml",BIODERMA,bioderma,3401575645851,3401575645851,340157564585,16424
"BIODERMA švelnus micelinis gelinis prausiklis jautriai odai SENSIBIO GEL MOUSSANT, 500 ml","BIODERMA švelnus, micelinis gelis - prausiklis jautriai odai SENSIBIO GEL MOUSSANT, 500 ml",BIODERMA,bioderma,3701129800843,3701129800843,370112980084,19049
"URIAGE lūpų pieštukas BARIESUN, SPF 30, 4 g","URIAGE lūpų pieštukas BARIESUN, SPF30, 4 g",URIAGE,uriage,3661434008412,3661434008412,366143400144,21085
"IBUPROFEN LANNACHER, 600mg, plėvele dengtos tabletės, N30","URIAGE lūpų pieštukas BARIESUN, SPF30, 4 g",IBUPROFEN LANNACHER,uriage,900357600072,3661434008412,017922,21085
"EUCERIN lūpų pieštukas LIP ACTIVE, SPF 15, 4.8 g","EUCERIN lūpų pieštukas su dekspantenoliu ir vitaminu E LIP ACTIVE,  4.8 g",EUCERIN,eucerin,4005800631702,4005800631702,400580063170,21866
"LACALUT vaikiška dantų pasta JUNIOR, nuo 6 m., obuolių ir mėtų skonio, 55 ml","LACALUT dantų pasta vaikams JUNIOR nuo 6 metų, 55 ml",LACALUT,lacalut,4016369542293,4016369542293,401636954229,19463
"RHINOMER, aspiratorius kūdikio nosies gleivėms surinkti, 1 vnt.","LANSINOH vienkartiniai įklotai liemenėlei, 60 vnt.",RHINOMER,lansinoh,4750769000013,5060062991000,475076900001,19968
"LIVOL MULTI vitaminai vaikams, vaisių skonio, 60 kramtomųjų tablečių","LIVOL MULTI vitaminai vaikams, vaisių skonio, 60 tab.",LIVOL,livol,5702071501350,5702071501350,570207135734,21694
"EUCERIN losjonas su 5 % šlapalo sausai odai UREAREPAIR PLUS, 250 ml","EUCERIN kvapnus kūno losjonas sausai odai su 5% šlapalu UREA, 250 ml",EUCERIN,eucerin,4005800277801,4005800277801,400580027780,18417
"WALMARK SELENIUM AKTIV, 30 tablečių","WALMARK SELENIUM AKTIV, 30 tab.",WALMARK,walmark,8595165279757,8596024002257,859516526593,16768
"AGETIS DIAS FORTE tirpus kolagenas, granatų skonio, 30 paketėlių","AGETIS DIAS FORTE tirpus kolagenas, granatų skonio, 30 pakelių",DIAS FORTE,dias,5290931014978,5290931014978,529093101497,17023
"NAKLOFEN, 75mg/3ml, injekcinis tirpalas, N5","LA ROCHE POSAY veido ir kūno apsauga nuo saulės vaikams ANTHELIOS DERMO-PEDIATRICS, SPF50+, 200 ml",NAKLOFEN,la-roche-posay,,3337875698696,215103,20934
"VIPROSAL B, 50 g, Tepalas, N1","STIPRIOS AKYTĖS, 30 kramtomųjų tab.",VIPROSAL,aconitum,474041200213,4771316314445,013869,20950
"BELLA MEDICA drėgnos servetėlės intymiai higienai, 20 vnt.","BELLA drėgnos servetėlės intymiai higienai MEDICA, 20 vnt.",BELLA,bella,5900516420789,5900516420789,590051642078,16599
"LACTO SEVEN CHEW, aviečių ir braškių skonio, nuo 3 m., 50 kramtomųjų tablečių","LACTO SEVEN CHEW, 50 vnt.",VITABALANS,lactoseven,6410530055649,6410530055649,641053005564,18529
"SENI CARE prausimosi ir kūno priežiūros putos, 500 ml","OLKO klijuotė, 0,75 x 2 m",SENI,olko,5900516651756,4750837000020,590051665059,22039
"FLORADIX KINDERVITAL vaikams, 250 ml+matavimo indelis","FLORADIX KINDERVITAL, 250 ml",FLORADIX,floradix,4004148333767,4004148333767,400414804734,22554
"NEW NORDIC MULTIVITAMIN ACTIVE MAN ENERGY BOOST, nuo 18 m., 120 tablečių","NEW NORDIC multivitaminai vyrams ENERGY BOOST, 120 tab.",NEW NORDIC,new-nordic,5021807005154,5021807005154,502180700515,19721
"ECOSH bioaktyvus selenas, 150 μg, 90 kapsulių","ECOSH bioaktyvus Selenas, 150 mcg, 90 kaps.",ECOSH,ecosh,4741609232510,4741609232510,474160923251,18895
"VICHY šampūnas nuo plaukų slinkimo DERCOS, 200 ml","VICHY šampūnas nuo plaukų slinkimo DERCOS ENERGISING, 200 ml",VICHY,vichy,3337871311292,3337871311292,333787130765,22663
"ANAFTIN purškalas, 15 ml","ANAFTIN purškalas, 15 ml",ANAFTIN,anaftin,4013054025161,4013054025161,401305402516,16450
"CANPOL BABIES įklotai į kelnaites po gimdymo, 10 vnt.","CANPOL BABIES įklotai į kelnaites po gimdymo, 10 vnt.",CANPOL,canpol,5903407730035,5903407730035,590340773003,18966
"LA ROCHE-POSAY micelinis vanduo EFFACLAR, 400 ml","LA ROCHE POSAY micelinis vanduo EFFACLAR, 400 ml",LA ROCHE-POSAY,la-roche-posay,3337872412516,3337872412516,333787241251,16616
"MICROLIFE automatinis riešinis kraujospūdžio matuoklis BP W1 BASIC, 1 vnt., 1 vnt.","SENI  įklotai vyrams Man Super Level 5, 15 vnt.",MICROLIFE,seni,4719003330200,5900516802325,471900333020,20841
"DAILEE PANTS sauskelnės-kelnaitės NORMAL, L, 90150 cm, 14 vnt.","CUTIE CATS mirksintis dantų šepetėlis vaikams, 1 vnt.",DAILEE,cutie-cats,859561162359,6901209214318,859561162359,25078
"ELUDRIL burnos skalavimo skystis CLASSIC, nuo 6 m., 200 ml","ELUDRIL burnos skalavimo skystis CLASSIC, 200 ml",ELUDRIL,eludril,3577056025457,3577056025457,3482382,22465
"DIFLUCAN, 150mg, Kietosios kapsulės, N1","BIOFARMACIJA HIPOCRAT gelis RELAXIUM, 10 pak.",DIFLUCAN,hipocrat,100000000287,7290010149438,042577,21050
"SVR pienelis veidui ir kūnui SUN SECURE LAIT, SPF 50+, nuo 1 m., 100 ml","DISPOGEL šildantis-šaldantis kompresas, 14 cm x 24 cm, 1 vnt.",SVR,dispogel,3662361001996,8033196350361,366236100199,25225
"ECODENTA žemuogių kvapo dantų pasta vaikams, 75 ml","ECODENTA dantų pasta vaikams, 75 ml",ECODENTA,ecodenta,4770001331743,4770001331743,477000133174,15156
"DOXY-M-RATIOPHARM, 100mg, Tabletės, N10","LIBRESSE įklotai Normal Black, 30 vnt.",DOXY-M-RATIOPHARM,libresse,000003816831,7322540919516,042274,20967
